"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer","ARCHS4","GTEx","TabulaSapiens","n","Transcript","CellAge","SenMayo","AgedTissue","DiseaseTissue"
"ADAMTS5","ADAMTS11, ADMP-2","ENSG00000154736","ADAM metallopeptidase with thrombospondin type 1 motif 5","Q9UNA0","21","26917922-26967088","Cancer-related genes, Predicted secreted proteins","","Hydrolase, Metalloprotease, Protease","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"placenta: 26.2","Cell type enhanced","Detected in many",NA,"Breast myoepithelial cells: 48.9;Endometrial stromal cells: 87.7;Fibroblasts: 82.0;Leydig cells: 63.0;Smooth muscle cells: 50.0;Theca cells: 37.4","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Sarcoma: 7.4;thyroid cancer: 4.8","Liver - Hepatic stellate cells","Low region specificity","Detected in some",NA,"","Low region specificity","Detected in some",NA,"","HPA005661, CAB025996, HPA030906, HPA030908","Approved","","Supported","Nucleoplasm","Secreted to extracellular matrix",NA,NA,NA,28000,"","Cluster 5: Breast - Unknown function","Cluster 20: Connective tissue cells - ECM organization","Cluster 65: Fibroblasts - ECM organization","Nucleoplasm","","CAB025996: , HPA005661: AB_1078101, HPA030906: AB_2673654, HPA030908: AB_2673655","unprognostic (1.97e-1)","unprognostic (2.88e-3)","unprognostic (2.69e-2)","unprognostic (4.01e-2)","unprognostic (4.67e-1)","unprognostic (2.10e-2)","unprognostic (4.38e-8)","unprognostic (1.11e-3)","unprognostic (7.66e-2)","unprognostic (6.17e-2)","unprognostic (8.13e-2)","unprognostic (7.76e-2)","prognostic unfavorable (2.46e-4)","unprognostic (6.69e-3)","unprognostic (3.01e-1)","prognostic unfavorable (8.54e-4)","unprognostic (1.15e-1)",10,0,2,12,NA,1,0,NA,NA
"ADAMTS8","ADAM-TS8, FLJ41712, METH2","ENSG00000134917","ADAM metallopeptidase with thrombospondin type 1 motif 8","Q9UP79","11","130404923-130428609","Cancer-related genes, Plasma proteins, Predicted secreted proteins","","Heparin-binding, Hydrolase, Metalloprotease, Protease","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"lung: 27.6","Cell type enhanced","Detected in some",NA,"Endometrial ciliated cells: 10.4;Endometrial stromal cells: 32.6;Fibroblasts: 18.6;Glandular and luminal cells: 27.3;Schwann cells: 9.7","Cancer enhanced","Detected in many",NA,"endometrial cancer: 5.7","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in single",NA,"cervical cancer: 2.5","","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","HPA066349","Approved","","","","Secreted to extracellular matrix",NA,NA,NA,3600000,"","Cluster 19: Lung - Lung function","Cluster 20: Connective tissue cells - ECM organization","Cluster 14: Endometrium - Transcription regulation","","","HPA066349: AB_2685662","unprognostic (4.76e-6)","unprognostic (3.92e-2)","unprognostic (6.13e-2)","prognostic favorable (1.38e-4)","unprognostic (2.41e-1)","unprognostic (7.81e-2)","unprognostic (3.09e-2)","unprognostic (9.83e-2)","unprognostic (1.09e-4)","unprognostic (3.05e-1)","unprognostic (1.50e-1)","unprognostic (2.40e-1)","unprognostic (4.66e-3)","unprognostic (4.03e-3)","unprognostic (5.23e-1)","unprognostic (1.05e-1)","unprognostic (2.41e-1)",7,0,3,10,NA,0,0,"Nerve",NA
"ANGPT1","Ang1, KIAA0003","ENSG00000154188","Angiopoietin 1","Q15389","8","107249482-107498055","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins","Angiogenesis, Differentiation","Developmental protein","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"seminal vesicle: 33.5","Cell type enhanced","Detected in many",NA,"Astrocytes: 58.5;Fibroblasts: 30.0;Inhibitory neurons: 36.8;Serous glandular cells: 32.8;Smooth muscle cells: 51.4","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in some",5,"neutrophil: 5.8","Lineage enriched","Detected in many",5,"granulocytes: 5.8","Cancer enhanced","Detected in many",NA,"Rhabdoid: 43.8","Heart muscle - Smooth muscle cells, Liver - Hepatic stellate cells, Lung - Fibroblast_1","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB017815, HPA018793, HPA018816","Approved","","","","Secreted to blood",NA,NA,3.2e+07,110000,"Cluster 1: Neutrophils - Mixed function","Cluster 82: Adipose tissue - ECM organization","Cluster 66: Myeloid cells - Innate immune response","Cluster 72: Smooth muscle cells - ECM organization","","","CAB017815: , HPA018793: AB_1844820, HPA018816: AB_1844821","unprognostic (7.71e-2)","unprognostic (2.13e-1)","unprognostic (6.37e-2)","unprognostic (4.11e-3)","unprognostic (7.36e-2)","unprognostic (3.80e-2)","unprognostic (2.22e-3)","unprognostic (3.29e-2)","unprognostic (1.07e-2)","unprognostic (5.54e-2)","unprognostic (2.62e-1)","unprognostic (1.44e-1)","prognostic favorable (4.40e-4)","unprognostic (4.56e-3)","unprognostic (1.69e-1)","unprognostic (3.24e-1)","unprognostic (1.76e-1)",8,0,3,11,"ENST00000520052",1,1,NA,NA
"BDNF","","ENSG00000176697","Brain derived neurotrophic factor","P23560","11","27654893-27722058","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins","","Growth factor","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in some",NA,"brain: 8.2","Cell type enhanced","Detected in many",NA,"Alveolar cells type 1: 20.7;Bipolar cells: 9.8;Cardiomyocytes: 11.6;Excitatory neurons: 22.0;Skeletal myocytes: 7.9;Smooth muscle cells: 13.1;Theca cells: 8.1","Low cancer specificity","Detected in some",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Lung - Alveolar cells type 1, Testis - Early spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","CAB009564","Enhanced","","","","Secreted to blood",NA,"Yes",1.6e+07,24000,"","Cluster 10: Brain - Neuronal signaling","Cluster 20: Connective tissue cells - ECM organization","Cluster 18: Non-specific - Mixed function","","","CAB009564: AB_2064213","unprognostic (1.25e-2)","unprognostic (2.84e-1)","unprognostic (4.35e-2)","unprognostic (2.54e-2)","unprognostic (1.01e-2)","unprognostic (6.82e-2)","unprognostic (2.39e-2)","unprognostic (2.21e-1)","unprognostic (3.20e-1)","unprognostic (1.78e-1)","unprognostic (1.22e-2)","unprognostic (2.65e-1)","unprognostic (3.22e-2)","unprognostic (3.88e-2)","unprognostic (5.88e-2)","unprognostic (1.40e-1)","unprognostic (2.84e-3)",12,12,12,36,"ENST00000356660; ENST00000530786; ENST00000533131; ENST00000584049",0,0,NA,NA
"CEMIP","HYBID, IR2155535, KIAA1199, TMEM2L","ENSG00000103888","Cell migration inducing hyaluronidase 1","Q8WUJ3","15","80779343-80951776","Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","Glycosidase, Hydrolase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"choroid plexus: 25.3;endometrium 1: 31.9","Group enriched","Detected in some",8,"Excitatory neurons: 61.7;Inhibitory neurons: 39.4;Microglial cells: 98.5;Thymic epithelial cells: 68.9","Cancer enhanced","Detected in all",NA,"colorectal cancer: 21.3","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in all",NA,"","Testis - Sertoli cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA079449","","","Supported","Nuclear membrane,Nucleoli fibrillar center,Endoplasmic reticulum","Secreted in other tissues",NA,NA,NA,1700000,"Cluster 4: T-regs - Cell cycle regulation","Cluster 42: Ciliated cells - Cilium & Cell projection","Cluster 20: Connective tissue cells - ECM organization","Cluster 38: Neurons - Neuronal signaling","Nucleoli fibrillar center","Nuclear membrane, Endoplasmic reticulum","HPA079449: ","unprognostic (1.14e-3)","unprognostic (6.80e-2)","unprognostic (5.95e-2)","unprognostic (3.15e-3)","unprognostic (3.49e-3)","unprognostic (6.80e-2)","unprognostic (5.47e-2)","unprognostic (1.22e-1)","unprognostic (7.49e-2)","unprognostic (1.53e-1)","unprognostic (7.24e-2)","unprognostic (1.36e-1)","unprognostic (5.27e-10)","unprognostic (1.82e-2)","unprognostic (1.93e-1)","unprognostic (1.34e-1)","prognostic unfavorable (2.65e-4)",9,9,11,29,"ENST00000220244; ENST00000356249; ENST00000394685; ENST00000495041",0,0,"Adipose; Blood.Vessel",NA
"COL11A1","CO11A1, COLL6, DFNA37, STL2","ENSG00000060718","Collagen type XI alpha 1 chain","P12107","1","102876467-103108872","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","Cancer-related genes, Cataract, Deafness, Disease variant, Dwarfism, Ectodermal dysplasia, Non-syndromic deafness, Stickler syndrome","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in some",NA,"placenta: 20.1;retina: 9.6","Cell type enriched","Detected in some",5,"Oligodendrocyte precursor cells: 533.8","Cancer enhanced","Detected in many",NA,"breast cancer: 27.4","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Rhabdoid: 246.1","Skeletal muscle - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","HPA058335","","","Supported","Endoplasmic reticulum","Secreted to extracellular matrix","No","No",NA,640000,"","Cluster 28: Placenta - Pregnancy","Cluster 33: Skin cancer - Membrane components","Cluster 10: Neurons & Oligodendrocytes - Nervous system development","Endoplasmic reticulum","","HPA058335: AB_2683682","unprognostic (2.60e-3)","unprognostic (6.61e-4)","unprognostic (9.58e-2)","unprognostic (5.06e-5)","unprognostic (2.83e-1)","unprognostic (2.85e-2)","unprognostic (6.03e-3)","unprognostic (2.23e-3)","unprognostic (9.08e-2)","unprognostic (1.21e-1)","unprognostic (1.12e-2)","unprognostic (1.94e-2)","unprognostic (3.01e-12)","unprognostic (1.27e-2)","unprognostic (3.53e-1)","unprognostic (3.54e-2)","unprognostic (2.32e-2)",9,7,9,25,"ENST00000512756",0,0,"Adipose; Blood.Vessel",NA
"COL15A1","","ENSG00000204291","Collagen type XV alpha 1 chain","P39059","9","98943179-99070792","Plasma proteins, Predicted secreted proteins","Angiogenesis, Cell adhesion, Differentiation","Developmental protein","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"placenta: 229.2","Cell type enhanced","Detected in many",NA,"Adipocytes: 297.0;Endothelial cells: 185.7;Fibroblasts: 165.0;Leydig cells: 330.9;Peritubular cells: 467.1;Theca cells: 317.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in some",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Sarcoma: 14.8;skin cancer: 17.3","Adipose visceral - Endothelial cells, Colon - Smooth muscle cells, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Skin - Fibroblast_1, Testis - Peritubular cells","Low region specificity","Detected in many",NA,"","Region enriched","Detected in many",7,"spinal cord: 44.3","HPA017913, HPA017915","Enhanced","","Approved","Endoplasmic reticulum","Secreted to extracellular matrix",NA,NA,NA,2.8e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Endoplasmic reticulum","","HPA017913: AB_1847099, HPA017915: AB_1847100","unprognostic (4.30e-1)","unprognostic (1.44e-1)","unprognostic (1.41e-1)","unprognostic (2.22e-2)","unprognostic (2.09e-1)","unprognostic (1.09e-2)","prognostic favorable (5.47e-4)","unprognostic (3.08e-2)","unprognostic (1.05e-1)","unprognostic (2.29e-1)","unprognostic (1.84e-1)","unprognostic (7.87e-2)","unprognostic (1.20e-3)","unprognostic (3.66e-3)","unprognostic (8.98e-2)","unprognostic (6.98e-2)","prognostic unfavorable (3.08e-4)",5,0,5,10,NA,0,0,"Muscle","Idiopathic.Pulmonary.Fibrosis"
"COL1A1","OI4","ENSG00000108821","Collagen type I alpha 1 chain","P02452","17","50184101-50201632","Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","Cancer-related genes, Disease variant, Dwarfism, Ehlers-Danlos syndrome, FDA approved drug targets, Osteogenesis imperfecta","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 1331.8;gallbladder: 1211.3","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 1863.1;Fibroblasts: 1830.1;Leydig cells: 557.7;Pancreatic endocrine cells: 1576.7;Smooth muscle cells: 657.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"Brain cancer: 1245.5","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts, Thyroid - Fibroblasts","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in all",NA,"spinal cord: 115.9","HPA011795, HPA012111","Approved","","Approved","Endoplasmic reticulum,Vesicles","Secreted to extracellular matrix",NA,NA,NA,8e+07,"","Cluster 46: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Endoplasmic reticulum","Vesicles","HPA011795: AB_1847088, HPA012111: ","unprognostic (1.61e-1)","unprognostic (3.60e-3)","unprognostic (8.29e-2)","unprognostic (5.52e-2)","unprognostic (7.74e-2)","unprognostic (2.22e-1)","unprognostic (6.01e-2)","prognostic unfavorable (4.43e-4)","unprognostic (1.23e-2)","unprognostic (2.55e-2)","unprognostic (8.53e-2)","unprognostic (9.90e-2)","prognostic unfavorable (7.19e-12)","unprognostic (2.74e-2)","unprognostic (4.73e-2)","unprognostic (7.26e-2)","unprognostic (3.87e-3)",8,0,11,19,"ENST00000474644",0,0,"Brain","Idiopathic.Pulmonary.Fibrosis"
"COL1A2","OI4","ENSG00000164692","Collagen type I alpha 2 chain","P08123","7","94394895-94431227","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","","","Cancer-related genes, Disease variant, Dwarfism, Ehlers-Danlos syndrome, Osteogenesis imperfecta","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"cervix: 1831.7;gallbladder: 1378.0;smooth muscle: 1416.9","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 711.3;Fibroblasts: 1913.7;Glandular and luminal cells: 452.3;Leydig cells: 999.0;Pancreatic endocrine cells: 498.1;Peritubular cells: 495.5;Smooth muscle cells: 640.7;Theca cells: 555.0","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"Brain cancer: 1492.3","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in all",NA,"spinal cord: 133.7","CAB032650, HPA068464, HPA068494","Approved","","Supported","Endoplasmic reticulum","Secreted to extracellular matrix",NA,NA,NA,2.7e+07,"","Cluster 46: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Endoplasmic reticulum","","CAB032650: AB_2082039, HPA068464: , HPA068494: ","unprognostic (1.20e-1)","unprognostic (6.34e-2)","unprognostic (1.32e-1)","unprognostic (3.40e-2)","unprognostic (2.86e-2)","unprognostic (2.81e-1)","unprognostic (5.15e-2)","unprognostic (7.38e-3)","unprognostic (2.01e-2)","unprognostic (1.40e-2)","unprognostic (5.83e-2)","unprognostic (2.15e-1)","prognostic unfavorable (1.51e-9)","unprognostic (1.35e-2)","unprognostic (5.25e-2)","unprognostic (1.15e-1)","unprognostic (3.31e-3)",11,0,12,23,"ENST00000620463",0,0,NA,"Idiopathic.Pulmonary.Fibrosis"
"COL3A1","EDS4A","ENSG00000168542","Collagen type III alpha 1 chain","P02461","2","188974373-189012746","Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","Aortic aneurysm, Disease variant, Ehlers-Danlos syndrome, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 2369.0;gallbladder: 2092.8;placenta: 1981.7;smooth muscle: 2140.7","Group enriched","Detected in many",4,"Endometrial stromal cells: 2622.9;Fibroblasts: 1426.6;Smooth muscle cells: 709.7;Theca cells: 729.0","Low cancer specificity","Detected in all",NA,"","Group enriched","Detected in all",4,"cerebral cortex: 15.0;thalamus: 10.9;white matter: 4.6","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Rhabdoid: 1260.1;testis cancer: 954.8","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in all",NA,"spinal cord: 61.1","HPA007583, CAB016766, CAB059993","Approved","","Approved","Endoplasmic reticulum","Secreted to extracellular matrix",NA,NA,NA,3.2e+07,"","Cluster 46: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Endoplasmic reticulum","","CAB016766: , CAB059993: AB_2314211, HPA007583: AB_1078548","unprognostic (1.12e-1)","unprognostic (2.03e-2)","unprognostic (1.02e-1)","unprognostic (6.01e-2)","unprognostic (2.78e-1)","unprognostic (2.04e-1)","unprognostic (6.94e-2)","unprognostic (6.77e-3)","unprognostic (3.57e-3)","unprognostic (2.60e-2)","unprognostic (1.89e-2)","unprognostic (1.99e-1)","prognostic unfavorable (3.59e-10)","unprognostic (1.70e-3)","unprognostic (3.76e-2)","unprognostic (7.61e-2)","unprognostic (6.17e-3)",10,0,11,21,"ENST00000317840",0,0,NA,"Idiopathic.Pulmonary.Fibrosis"
