GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
WNT16,TRPA1,SLC38A11,WNT16,ACKR4,TRPA1,FUT5,PGAM4,TNFSF4,COLEC10,WNT16,KRT34,ADAMTS8
LRRC17,CHRM2,MMP3,TRPA1,SLC38A11,COLEC10,SNX32,NACA2,OXTR,KISS1,RSPO1,PSG1,RSPO1
NACA2,RIPOR3,ACKR4,CHRM2,ADAM33,CST1,WNT16,PIGY,C5orf46,LRRC17,CCDC68,PSG4,TRPA1
OXTR,WNT16,KRT34,NPTX1,KRTAP1-5,PALM2AKAP2,TRPA1,S100A2,KRT34,OXTR,TNFRSF11B,OXTR,CHRM2
SCN9A,ITGA8,OXTR,RSPO1,RSPO1,ADAMTS19,NEDD8-MDP1,KRT6B,FOXE1,TNFSF4,TRPA1,PSG5,TNFRSF11B
GALNT5,RSPO1,RSPO1,COLEC10,SYPL2,PCDHGA1,CHRM2,LGALS7B,KISS1,PSG5,CHRM2,KRT33B,PGAM4
CCN4,ADAMTS8,SYPL2,FKBP1C,PGAM4,WNT16,RBM14-RBM4,KRT17,PRSS35,C5orf46,COLEC10,SLC38A11,FOXF1
CSNK2A3,TNFSF4,MKX,RIPOR3,CHRM2,ADAMTS8,ZNF575,PABPC3,CEMIP,CEMIP,PGAM4,TNFRSF11B,FKBP1C
TNFSF4,TNFRSF11B,PGAM4,PGAM4,MKX,PCDHGA5,RNF103-CHMP3,KRT6A,PAPPA2,KRT34,ADAMTS19,PGAM4,F2RL2
COLEC10,NPTX1,LOXL4,TNFRSF11B,PSG5,PGAM4,URGCP-MRPS24,CSF2,HAPLN1,KCTD16,MMP1,ACKR4,LRRC17
CCDC81,FKBP1C,PSG5,CCDC68,LOXL4,SERINC4,PDE5A,UQCRHL,NPPB,BDKRB1,FKBP1C,LHX9,COLEC10
FOXF1,COLEC10,KRTAP1-5,TNFSF4,ASB5,URGCP-MRPS24,LRRD1,FOLR3,TNFRSF11B,NPTX1,FOXF1,MKX,FOXL1
KISS1,CCDC68,TNFRSF11B,PDE5A,PODN,TNFRSF11B,SPDYA,MT1G,IL6,CCN4,PDE5A,ADAM33,PDE5A
PDE5A,SLC16A6,ADAM33,FOXF1,TNFRSF11B,KRTAP1-5,H3C4,H3-5,INHBB,PAPPA2,KRTAP1-5,RSPO1,TNFSF4
TRPA1,FOXF1,CEMIP,INSC,CEMIP,RNF103-CHMP3,CTAG2,PTHLH,ST6GALNAC5,PLAT,RIPOR3,SYPL2,NPTX1
PSG4,PDE5A,MASP1,ADAMTS8,PSG1,PCDHGA9,YJEFN3,KRT14,LRRC17,CHRM2,ADAMTS8,PSG8,COL15A1
CCDC68,PGAM4,ASB5,ACTG2,UBL4B,TBX5,PALM2AKAP2,SOX15,SCN9A,SCN9A,PSG4,CEMIP,ARL17A
ACTG2,DLL4,FKBP1C,SLC14A1,FMO4,PSG4,H3C14,KRT5,LOXL4,ADAMTS12,RELN,PSG6,TNFSF18
LRRC15,PAMR1,SIM1,GALNT5,TRPC6,PCDHGB3,H3C15,IL1A,ACTG2,FOXE1,GALNT5,KRTAP1-5,TBX5
EDARADD,FOXL1,SSTR1,DLL4,ACAN,C7orf25,AMIGO3,KRT3,PDCD1LG2,IL1A,ITGA8,MASP1,CEMIP
TNFRSF11B,TNFSF18,ARL17A,FIBIN,RXFP1,IL12A,TNFSF4,RNASE7,KCTD16,SERPINB7,CEMIP,COL15A1,RIPOR3
CHRM2,ANO4,PODN,FOXL1,SFRP4,NPIPA5,MROH8,POTEE,PSG5,BMPER,SVEP1,KRT33A,SCN9A
SERPINB7,GALNT5,TBX5,ANO4,LRRN4CL,LRRD1,BDKRB1,CALML3,PTGIS,INSYN2B,FIBIN,SIM1,ACTG2
ANO4,TCF21,MAB21L1,SPON2,ADGRD1,FKBP1C,TLR9,MAP1LC3B2,CSNK2A3,FOXL1,LRRC17,PLPPR4,PTGES3L-AARSD1
C7orf25,TBX5,TNFSF18,TRHDE,MASP1,ANO4,RPS10-NUDT3,IL36G,MYOCD,ST6GALNAC5,TNFSF4,CPXM2,BDKRB2
CHRNA1,F2RL2,PLPPR4,CORO7-PAM16,OSR2,NEDD8-MDP1,ANO4,KRTAP2-2,PLAT,PAPPA,TCF21,TBX5,CCDC68
CPA4,BDKRB1,CHRM2,ARL17A,SVEP1,PCDHGB1,SERINC4,KRT76,TEK,TNFRSF11B,LRRN4CL,KRT31,ALKAL1
PDCD1LG2,TSLP,L1CAM,RELN,KRT34,MMP3,COLEC10,FGF11,RPSA2,COL4A4,BDKRB1,ALX4,BDKRB1
TRHDE,CEMIP,MOXD1,ADAMTS19,SIM1,PPP1R42,GDF9,PNLIPRP3,ADAMTS12,MRGPRX3,ADAM33,FKBP1C,PAMR1
NTF3,HLA-G,CD248,CD248,CPXM2,ARL17A,H4C11,ANP32D,CCDC81,TEK,TBX5,MAB21L1,TMEM158
MGARP,ACTG2,SEMA3D,PSG1,SSTR1,CST4,BDNF,ZBED2,NLRP10,CDH10,PLAT,CHRM2,PSG4
BDKRB1,TRHDE,ADGRD1,PODN,ADCY4,GALNT5,LRRC17,HNRNPCL1,FSCN2,BDNF,DNAH5,PODN,TSLP
SMURF2,CTHRC1,ODAD2,TNFSF18,MOXD1,PCDHGA3,FBXL13,EDARADD,MYCT1,PDE5A,FOXL1,PABPC3,RELN
TMEM178B,CORO7-PAM16,PABPC3,ADAM33,MGARP,PCDHGA7,TRHDE,COL17A1,EXTL1,CSNK2A3,CORO7-PAM16,CYP26B1,ANO4
LOX,TEK,PSG1,SCN5A,CTSK,FAM209A,PGAM4,MMP10,ZNF805,IL6,GDF6,ODAD2,CORO7-PAM16
BDNF,INSC,MXRA5,TBX5,LRRC15,CHRM2,ARPC4-TTLL3,SAA2-SAA4,FOXL1,RPSA2,TRHDE,PRSS12,TBX2
NLRP10,COL15A1,SFRP4,CEMIP,MMP3,RBM14-RBM4,CCDC68,GJB5,IL1A,ESM1,TEK,MSTN,MFAP4
TRPC6,ARL17A,SULF1,TSLP,MAB21L1,BEST1,FOXF1,SPRR1B,ULBP1,PRSS35,TMEM35A,SSC5D,TRHDE
BDKRB2,RELN,LUM,KCNF1,MXRA5,LRRC17,SCN9A,RAB6C,ITGBL1,ZNF805,F2RL2,STAC,PABPC3
FOXL1,KCNF1,SERPINB7,PAMR1,OXTR,PCDHGA2,ANKUB1,ANGPTL4,ANGPTL4,PDCD1LG2,HSPB6,HOXA13,TCF21
WNT5B,PABPC3,LAYN,TBX2,TMEM119,ANGPTL6,GPR39,KRT16,OSCAR,MYOCD,PAMR1,L1CAM,CYTL1
CNN1,SLC14A1,MARCHF4,BDKRB1,FKBP1C,MMP1,SRRM5,CYGB,NTF3,MGARP,SLC14A1,CD248,CD248
DNAH5,FGF5,HOXA13,LRRC17,TBX5,FOXF1,TMED7-TICAM2,ENTPD3,CCN4,LOXL4,ANO4,LOXL4,VCAM1
ADAMTS8,HBD,WNT5B,FGF5,BHMT2,PCDHGA4,TNFRSF11B,GLUD2,BDNF,HAPLN1,CD248,INHBB,BDNF
FIBIN,PSG1,DKK1,PABPC3,PLPPR4,PCDHGB2,FOXL1,IL20RB,ANKRD1,CPA4,ARL17A,INHBE,HLA-G
GLUD2,PODN,PDCD1LG2,PSG5,RECK,SNX32,IL11,NTF4,CPA4,PAMR1,TBX2,MYPN,EMILIN1
ADAMTS12,TBX2,PTGES3L-AARSD1,TMEM158,SLC6A17,TCF21,JSRP1,GPR87,MFAP5,ANGPTL4,TSLP,MMP3,PODN
ZNF805,CD248,SOD3,KRTAP1-5,ARL17A,PCDHGC5,UTS2B,UBE2NL,BMPER,PTCHD4,IL12A,LRRC15,SGIP1
BMPER,PSG5,IGFBP5,HLA-G,PDE8B,PCDHGC4,TGIF2-RAB5IF,GRIN3B,NGF,CCDC68,SSTR1,SERPINB7,MMP1
RAB6D,OXTR,BHMT2,ITGA8,L1CAM,TRIM6-TRIM34,ZACN,CLCA2,MASP1,KIRREL3,COL24A1,GFRA1,IGFBP5
TBX5,PTGES3L-AARSD1,MMP1,TCF21,SOD3,PDE5A,FAM209A,GJB2,INHBE,SUCNR1,KCNF1,SSTR1,FIBIN
EDN1,H3-5,UBL4B,WNT5B,SSC5D,BDKRB1,ATP6V1C2,HS3ST2,EPGN,FOXF1,FGF5,SULF1,ITGA11
CPED1,NCKAP5,TWIST2,PTGES3L-AARSD1,DPT,NPIPA2,CORO7-PAM16,IL1B,ADAM33,TMEM178B,CPED1,WNT5A,GALNT5
PABPC3,TMEM158,CORO7-PAM16,OXTR,KISS1,DNAH5,ITGA8,WNT7A,PAPPA,IL1B,DLL4,MXRA5,H3-5
TMEM158,CPED1,SERPINB2,LMOD1,PAMR1,TRIM39-RPP21,GALNT5,NPFF,CNN1,NALCN,SGIP1,MEGF6,NTF3
PRSS35,GPR68,KRT33B,BDKRB2,CD248,AMIGO3,PSG4,KRT75,CMKLR2,MMP1,BDNF,DKK1,SVEP1
TEK,MOXD1,MEGF6,SGIP1,ADAMTSL5,TGIF2-RAB5IF,H2AC7,S100A3,OLR1,NPPB,IRAG1,GAS1,WNT16
PSG5,BMP2,SVEP1,CSDC2,IL17RB,PAMR1,RPL36A-HNRNPH2,HSF2BP,MGARP,INHBB,SCN9A,TRHDE,TEK
KCTD4,FOXF2,OSR2,MOXD1,FOXF2,SLC16A6,KISS1,SERPINB5,LMOD1,PPP4R4,TMEM158,LUM,PLAT
ANKRD1,PDCD1LG2,WNT5A,NTF3,FBLN5,ATP6V1C2,NME1-NME2,MT1X,ZPLD1,NLRP10,ICAM5,KIRREL3,LIF
PLAT,SGIP1,SGCD,PDCD1LG2,LEP,RSPH10B,CLVS1,TNS4,TRPC4,SERPINB2,NPTX1,PSG3,USP44
ANGPT1,PCDH18,FBLN5,SCN9A,PGM5,FUT5,PIGY,ATP5MGL,TNFRSF10D,FPR3,PTGES3L-AARSD1,FBLN5,MRGPRF
MAMDC2,CYTL1,CDK15,CPED1,ODAD2,RPS10-NUDT3,H1-5,S100A14,COL4A4,TBX5,RGS11,RECK,CSDC2
PAMR1,LIF,MYPN,IRAG1,HOXA13,F2RL2,PAMR1,ANXA8L1,GDNF,GREM1,PABPC3,PTGES3L-AARSD1,KRTAP1-5
FGF5,LPAR3,MGARP,SLC16A6,ADAMTS5,RGPD4,H3C12,ZPLD1,CALHM5,TNFRSF10D,CDK15,PSG7,FGF5
STC1,FIBIN,TRHDE,HSPB6,TWIST2,STC1,MMP3,CLIC3,THBS2,NTF3,TMEM176A,DIO2,ZNF469
CLDN1,BDKRB2,COL15A1,VAT1L,LAYN,ZACN,B3GNT4,AREG,STAC,GALNT5,FOXF2,GRIA1,IL12A
WNT5A,WFDC1,F2RL2,FOXF2,PRSS12,ITGA8,RGPD4,TREM2,MXRA5,CA9,MGARP,ACAN,NID2
DCBLD2,NTF3,ALPK2,BMP2,SHOX2,RGPD3,RGPD3,PTTG2,FIBIN,ACTG2,SFRP1,SCN9A,EIF2S3B
ALKAL1,ADAMTS14,ATXN7L2,PLAT,HSPB7,MRNIP,DNAH5,HEPHL1,ULBP2,LOX,NID2,GLT8D2,SPON2
CDK15,CHAC1,KRTAP3-1,SPOCD1,SEMA3D,RELN,LYPD1,RASD2,CASTOR2,MYCT1,CST1,EIF2S3B,SGCD
CTHRC1,PLAT,CPXM2,TENM1,FMOD,CKLF-CMTM1,H3C13,CSNK1A1L,TMEM178B,TMEM158,BDKRB2,LAYN,CTHRC1
ALPK2,KRTAP1-5,GRIA3,CNN1,NTF3,WDR86,TLCD4-RWDD3,LCN2,H4C5,RTL1,TBC1D19,PDCD1LG2,SLC9A5
PTCHD4,EMILIN1,USP53,LIF,COL15A1,TEK,MGARP,PGF,INSYN2B,LIF,NTF3,NTF3,NCKAP5
SPON2,SCN5A,CCL2,BDNF,SLC1A7,NPIPA3,ACTG2,RBM14-RBM4,SERPINB7,RGS4,MMP3,CD34,HSPB6
SERPINA9,WNT5B,ALDH1A1,SFRP1,KRT33B,RIPOR3,BDKRB2,H2AC18,LOX,MGAM,HLA-G,TBX4,CPED1
LMOD1,COL4A6,PAMR1,CYTL1,USP53,PEDS1-UBE2V1,ENO3,MSMP,NOX4,CPED1,P3H2,COL8A2,VAT1L
SFRP1,PIEZO2,ADAMTSL5,MARCHF4,PRELP,HOXB5,H2AC13,ADGRF4,CDH10,ADAMTSL1,FGF7,CNN1,PDCD1LG2
PPP1R3C,MRGPRF,DIO2,LCE2A,JAM2,FAM166A,HLA-G,TMEM40,GREM1,PTGIS,SH2D5,GRIK1,SSC5D
NALF1,IRAG1,GALNT5,MRGPRF,CYP26B1,SVEP1,WNT5B,C19orf33,ADAMTS15,H4C5,NCKAP5,LOX,ALPK2
COL11A1,LRRC17,FBLN2,NCKAP5,PABPC3,TAC3,PPP1R42,AKR1C4,TM6SF1,ULBP2,WNT5B,ARL17A,CHAC1
FGF7,CSDC2,CTSK,EMILIN1,PDGFD,TBC1D19,MMP1,DSG3,ATP10A,OLR1,JCAD,ALPK2,FOXF2
SGIP1,TMTC1,BMPER,COL13A1,HOXA11,TMED7-TICAM2,FIBIN,B3GNT4,EDN1,ULBP1,GAS6,H3-5,CDK15
C14orf28,ADAMTS19,IRAG1,ELFN2,GAS1,SPDYA,TRIM55,DND1,KIRREL3,ANGPT1,OXTR,HLA-G,WNT5B
USP44,GLUD2,ADAMTS2,CPA4,NLGN4Y,CORO7-PAM16,SH3D21,IQCJ-SCHIP1,C7orf25,SHC3,MRGPRF,ADAMTSL5,ADAMTS12
ULBP3,STK32B,ADCY4,WFDC1,SLC38A4,CCDC68,USP44,G0S2,FOXF1,IL33,MOXD1,WNT5B,CNN1
IL12A,VAT1L,SPOCD1,STC1,CNTN3,TNFSF18,TRIM39-RPP21,CYP1A1,PPP4R4,IGFBP3,LRRN3,CORO7-PAM16,LOX
FILIP1L,RASGRF2,TCIM,ACVRL1,GRIA3,FILIP1L,CCDC73,CA9,PRSS12,SULF1,SCNN1D,HOXA11,SFRP1
OLR1,ITGA11,MRGPRF,SVEP1,FGF1,CTHRC1,DLL4,SSC4D,COL8A2,HHIP,RAB6D,SPHKAP,GSTT2
SFT2D3,SPOCD1,LOX,SERPINB7,MRGPRF,SGIP1,SLC5A2,PGBD3,PGAM4,MFAP5,LIF,ADM2,WNT5A
CALHM5,RAB6C,LMOD1,TMEM35A,DIO2,NCKAP5,ZHX1-C8orf76,TMEM74B,PCDH10,DACH2,RAB6C,ADAMTS2,RAB6D
LRRN3,SPON2,FMO4,ITGA11,HSPB3,ITGBL1,CPED1,ITGB6,RGS4,WNT16,PCDHGB4,RDH10,RAB6C
VEPH1,ELFN2,DRAM1,PCDHGA7,ALPK2,SPATA21,CNN1,CXCL1,ALPK2,BDKRB2,CNTN3,ADRA1D,TMTC1
SLC38A4,MASP1,TRPC4,STK32B,CFHR1,COL24A1,CEP295NL,KANK4,CA9,C1QTNF1,CHAC1,TWIST2,GREM1
ELMOD1,EIF2S3B,H3-5,MASP1,KCNN2,SLC5A2,RIPOR3,C1orf74,ICAM5,BMP6,MARCHF4,SEMA3D,PRSS12
PDE1C,TMEM35A,PTGS2,SSTR1,LUM,PCDHGA8,NTF3,SMIM11,RTL1,HAS1,ACTG2,DCLK2,DNAH5
DKK2,HSD17B2,HOXA11,CTHRC1,BRINP1,PCDHGA11,TBX2,POTEF,ITGA11,NOX4,PDCD1LG2,USP53,ICAM5
MARCHF4,ADAM33,LAMA2,ADAMTS12,ATXN7L2,ARPC4-TTLL3,ATP5MF-PTCD1,C16orf74,LIF,ALPK2,FGF9,F2RL2,GAS6
MYBL1,PCDHGA7,COL13A1,GLUD2,WNT5A,CNTD1,TEK,H4C12,FGF11,P4HA3,TNFSF18,PTGS2,LPAR1
NOG,SCN9A,LRRN4CL,FILIP1L,ABCB4,PLAT,TRPC6,C7orf25,NPTX1,FRMPD4,SPON2,SAMD5,TMEM176A
ANGPTL4,GLT8D2,ESM1,SH2D5,ADRA2A,PCDHGA12,LTO1,PLCH2,GPR176,PDE1C,SCN5A,FOXF1,ANO1
CAVIN4,RAB6D,PRSS12,DNAH5,TMTC1,MYPN,WFDC1,SERPINB13,SULF1,ADAM33,WFDC1,MARCHF4,LMOD1
UQCRHL,BDNF,SSC5D,GAS6,F2RL2,DPP4,CTHRC1,GJB3,CHAC1,GPRIN2,PGM5,OSR2,IRAG1
F2RL2,SHISAL1,FOXF2,PCDHGB4,SULF1,SLC14A1,GSTT2,CDC42EP5,TMEM158,AOX1,H3-5,ADAMTS5,MOXD1
RELL1,SYNPO2,CNN1,SLC9A5,RASL11A,MGARP,ADAMTS19,CDA,PDE5A,SVEP1,LPAR3,SVEP1,PCDH18
PAPPA,ADAM23,ADAMTS5,PLAU,GDF6,GPR39,POC1B-GALNT4,TSPAN1,CCL20,CALHM5,TMTC1,RAB6D,ANGPTL2
ARSJ,NALF1,TMEM119,H3-5,GRIA1,BDNF,SPON2,S100A8,SH3D21,MXRA5,SYPL2,ALDH1L2,FBLN5
JCAD,DNAH5,FGF1,INMT,WNT2,TMEM176A,FGF7,EIF5AL1,BST1,TRHDE,TMEM200A,PEAR1,RECK
MXRA5,NSG1,THBS2,TEK,GREM1,ACTG2,LMOD1,CCL20,CYP2U1,GPR176,GPR37,COL1A2,COL24A1
LAYN,PLPPR4,RECK,CTSK,LOX,KLKB1,TCF21,FBXO2,SYNPO2,EDN1,GREM1,MOXD1,ELFN2
ADAMTS5,PLAU,SLC22A4,TMEM176B,PTCHD4,ABHD14A-ACY1,APOLD1,ODAPH,MYOZ2,TMEM200A,GMNC,ADGRA2,CPNE7
MASP1,SH2D5,FGF5,NLGN4Y,TM4SF20,EPHX4,BCL2L2-PABPN1,SFT2D3,JPH2,TRPC4,LMOD1,HSPB7,FST
INHBA,LMOD1,NTF3,MMP1,THBS2,OSTN,EVA1B,CFHR1,C22orf23,CASTOR2,SSC5D,FBLN2,CCL2
UACA,SVEP1,ADAMTS12,CLEC14A,TNXB,TREH,SMURF2,CITED4,NTM,CMKLR2,SLC38A4,BHMT2,LAYN
MYPN,COL13A1,RARRES2,PTCHD4,COL8A2,LTO1,PDCD1LG2,ULBP2,NRXN3,PRSS12,EMILIN1,SGCD,S1PR3
GABBR2,LPAR1,GLT8D2,RAB6C,MFAP4,CEACAM19,TMEM158,H3C4,SFT2D3,TG,COL13A1,RAB6C,ADGRA2
MYOCD,SGCD,IL6,MYLK,FBLN2,HLA-G,MYL6B,C11orf91,TRHDE,MRGPRF,CYP2S1,NGF,PIEZO2
GMNC,ZNF469,CSDC2,AK5,BMPER,NEK10,TVP23C-CDRT4,POTEM,GFRA1,RARRES1,CSDC2,GREM1,JCAD
