Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
CHRM2,ENSG00000181072,Cholinergic receptor muscarinic 2,ENST00000401861; ENST00000445907,11,11,11,33,0,0,NA,NA,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",,"G-protein coupled receptor, Receptor, Transducer",FDA approved drug targets,Evidence at protein level,Tissue enhanced,Detected in some,NA,heart muscle: 36.1;intestine: 21.2,Group enriched,Detected in some,7,Cardiomyocytes: 72.6;Excitatory neurons: 48.4;Inhibitory neurons: 115.9,Cancer enhanced,Detected in single,NA,stomach cancer: 0.8,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enriched,Detected in some,5,Neuroblastoma: 10.4,"Heart muscle - Cardiomyocytes, Liver - Hepatic stellate cells, Testis - Early spermatids, Testis - Late spermatids",Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,"CAB022338, HPA029795",Approved,,,,,NA,NA,NA,NA,,Cluster 44: Heart - Cardiac muscle contraction,Cluster 20: Connective tissue cells - ECM organization,Cluster 37: Neurons - Neuronal signaling,,,"CAB022338: , HPA029795: AB_10601357"
PDCD1LG2,ENSG00000197646,Programmed cell death 1 ligand 2,ENST00000397747,12,11,9,32,1,0,Blood.Vessel,NA,"Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins","Adaptive immunity, Immunity",Receptor,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,lymphoid tissue: 15.1,Cell type enhanced,Detected in some,NA,Extravillous trophoblasts: 21.9;Fibroblasts: 7.3;granulocytes: 12.6;Langerhans cells: 14.1;Leydig cells: 6.9;Microglial cells: 11.9,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in some,NA,,Low immune cell specificity,Detected in some,NA,,Low lineage specificity,Detected in many,NA,,Low cancer specificity,Detected in many,NA,,"Breast - Fibroblasts, Kidney - Endothelial cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts",Not detected,Not detected,NA,,Low region specificity,Detected in all,NA,,HPA013411,Approved,,Uncertain,Cytosol,Secreted - unknown location,NA,NA,NA,3.10E+07,Cluster 46: Basophils - DNA binding,Cluster 16: Immune cells - Immune response,Cluster 20: Connective tissue cells - ECM organization,Cluster 23: Langerhans cells - Immune response,Cytosol,,HPA013411: AB_1855102
SCN9A,ENSG00000169432,Sodium voltage-gated channel alpha subunit 9,ENST00000303354; ENST00000409435; ENST00000409672; ENST00000454569,10,8,10,28,0,0,NA,NA,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels","Ion transport, Sodium transport, Transport","Ion channel, Sodium channel, Voltage-gated channel","Disease variant, Epilepsy, FDA approved drug targets",Evidence at protein level,Tissue enriched,Detected in many,4,brain: 21.9,Cell type enhanced,Detected in many,NA,dendritic cells: 112.3;Hofbauer cells: 65.6;Langerhans cells: 53.8;Oligodendrocyte precursor cells: 128.0;Schwann cells: 90.9;Sertoli cells: 74.6,Low cancer specificity,Detected in some,NA,,Low region specificity,Detected in many,NA,,Immune cell enriched,Detected in some,16,plasmacytoid DC: 23.6,Lineage enriched,Detected in single,26,dendritic cells: 23.6,Cancer enhanced,Detected in many,NA,Rhabdoid: 44.9,"Kidney - Proximal tubular cells, Testis - Sertoli cells",Region enriched,Detected in many,5,hypothalamus: 9.3,Low region specificity,Detected in many,NA,,"CAB013679, HPA061843",Uncertain,,Approved,"Plasma membrane,Actin filaments,Focal adhesion sites",,NA,NA,NA,NA,Cluster 3: Plasmacytoid DCs - Unknown function,Cluster 73: Brain - Neuropeptide signaling,Cluster 22: Rhabdoid cancers - Neuronal signaling,Cluster 48: Plasmacytoid dendritic cells - Unknown function,"Plasma membrane, Actin filaments, Focal adhesion sites",,"CAB013679: , HPA061843: AB_2684625"
OXTR,ENSG00000180914,Oxytocin receptor,ENST00000316793; ENST00000431493,9,9,9,27,0,0,Blood.Vessel; Brain,NA,"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,"G-protein coupled receptor, Receptor, Transducer",FDA approved drug targets,Evidence at protein level,Group enriched,Detected in some,10,brain: 14.7;breast: 54.1,Cell type enriched,Detected in many,6,Breast myoepithelial cells: 160.7,Cancer enhanced,Detected in many,NA,ovarian cancer: 7.0,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,Bladder cancer: 30.6,Pancreas - Ductal cells,Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,,,,,,,NA,NA,NA,NA,,Cluster 57: Non-specific - Angiogenesis,Cluster 20: Connective tissue cells - ECM organization,Cluster 38: Neurons - Neuronal signaling,,,
F2RL2,ENSG00000164220,Coagulation factor II thrombin receptor like 2,ENST00000296641,10,10,6,26,0,0,Blood.Vessel; Lung; Nerve,Idiopathic.Pulmonary.Fibrosis,"G-protein coupled receptors, Predicted membrane proteins","Blood coagulation, Hemostasis","G-protein coupled receptor, Receptor, Transducer",,Evidence at protein level,Tissue enhanced,Detected in many,NA,brain: 6.9;gallbladder: 6.8,Cell type enhanced,Detected in some,NA,Endometrial stromal cells: 2.3;Fibroblasts: 4.3;Rod photoreceptor cells: 4.7;Schwann cells: 7.5;Smooth muscle cells: 2.3,Cancer enhanced,Detected in many,NA,breast cancer: 9.8,Low region specificity,Detected in many,NA,,Immune cell enriched,Detected in some,9,basophil: 10.4,Lineage enriched,Detected in many,9,granulocytes: 10.4,Cancer enhanced,Detected in many,NA,Rhabdoid: 35.3,"Colon - Enteric glia cells, Heart muscle - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,,,,,,,NA,NA,NA,NA,Cluster 38: Basophils - Unknown function,Cluster 77: Retina - Visual perception,Cluster 61: Liver - Metabolism,Cluster 25: Schwann cells & Melanocytes - Mixed function,,,
THY1,ENSG00000154096,Thy-1 cell surface antigen,ENST00000524970,11,0,12,23,0,0,Blood.Vessel,Idiopathic.Pulmonary.Fibrosis; Heart.Failure,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,brain: 286.8;smooth muscle: 304.7;urinary bladder: 216.7,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 149.1;Excitatory neurons: 114.3;Fibroblasts: 173.9;Horizontal cells: 116.6;Inhibitory neurons: 101.6;Leydig cells: 99.8;Muller glia cells: 98.5;Proximal tubular cells: 162.8;Smooth muscle cells: 177.1,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 436.6;thyroid cancer: 250.9,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Skin - Fibroblast_1, Stomach - Fibroblasts, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA003733, CAB068243, CAB068244",Enhanced,,Approved,"Nucleoplasm,Plasma membrane",,NA,NA,NA,1.40E+07,Cluster 16: MAIT-cells - Unknown function,Cluster 10: Brain - Neuronal signaling,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,Nucleoplasm,Plasma membrane,"CAB068243: AB_2665687, CAB068244: AB_2665688, HPA003733: AB_1846340"
TRHDE,ENSG00000072657,Thyrotropin releasing hormone degrading enzyme,ENST00000261180; ENST00000547300; ENST00000549138; ENST00000549922,12,3,8,23,0,0,Lung,NA,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,"Aminopeptidase, Hydrolase, Metalloprotease, Protease",,Evidence at protein level,Tissue enhanced,Detected in many,NA,brain: 7.6;pancreas: 10.3,Cell type enhanced,Detected in many,NA,Excitatory neurons: 213.3;Inhibitory neurons: 285.3;Late spermatids: 67.4,Cancer enhanced,Detected in some,NA,renal cancer: 1.9,Group enriched,Detected in many,5,basal ganglia: 4.9;cerebellum: 4.4;cerebral cortex: 2.5;hippocampal formation: 7.6,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Bone cancer: 6.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Lung - Fibroblast_1, Prostate - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,,,,,,,NA,NA,NA,7300000,,Cluster 22: Non-specific - Unknown function,Cluster 10: Ovarian & Endometrial cancers - Unknown function,Cluster 37: Neurons - Neuronal signaling,,,
BDKRB1,ENSG00000100739,Bradykinin receptor B1,NA,9,8,5,22,0,0,NA,NA,"G-protein coupled receptors, Predicted membrane proteins",,"G-protein coupled receptor, Receptor, Transducer",,Evidence at protein level,Tissue enhanced,Detected in many,NA,urinary bladder: 23.4,Cell type enhanced,Detected in many,NA,Basal keratinocytes: 36.4;Basal squamous epithelial cells: 30.2;Squamous epithelial cells: 20.6;Suprabasal keratinocytes: 23.5;Thymic epithelial cells: 25.7,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in single,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,cervical cancer: 18.6,"Kidney - Endothelial cells, Skin - Keratinocyte (other), Testis - Spermatocytes, Testis - Spermatogonia",Low region specificity,Detected in single,NA,,,,NA,,HPA002935,Approved,,,,,NA,NA,NA,NA,Cluster 4: T-regs - Cell cycle regulation,Cluster 11: Squamous epithelial cells - Epithelial cell function,Cluster 20: Connective tissue cells - ECM organization,Cluster 22: Squamous epithelial cells - Keratinization,,,HPA002935: AB_1078274
TRPA1,ENSG00000104321,Transient receptor potential cation channel subfamily A member 1,ENST00000262209; ENST00000520596; ENST00000522271; ENST00000523582,7,7,7,21,0,0,NA,NA,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels","Ion transport, Sensory transduction, Transport",Ion channel,"Disease variant, FDA approved drug targets",Evidence at protein level,Tissue enhanced,Detected in some,NA,intestine: 9.2;stomach 1: 10.3;urinary bladder: 27.7,Cell type enhanced,Detected in some,NA,Early spermatids: 15.1;Excitatory neurons: 4.9;Fibroblasts: 6.1;Intestinal goblet cells: 32.2,Cancer enhanced,Detected in many,NA,breast cancer: 2.7,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Neuroblastoma: 6.6,"Testis - Early spermatids, Testis - Late spermatids",Not detected,Not detected,NA,,Low region specificity,Detected in some,NA,,,,,,,,NA,NA,NA,NA,Cluster 27: Non-specific - Gene expression,Cluster 37: Intestine - Unknown function,Cluster 20: Connective tissue cells - ECM organization,Cluster 26: Intestinal epithelial cells - Absorption,,,
PDGFRA,ENSG00000134853,Platelet derived growth factor receptor alpha,ENST00000509490,10,0,10,20,0,0,NA,NA,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins","Chemotaxis, Host-virus interaction","Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase","Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene",Evidence at protein level,Tissue enhanced,Detected in all,NA,ovary: 190.2,Group enriched,Detected in many,7,Endometrial stromal cells: 374.7;Fibroblasts: 250.2;Leydig cells: 430.4;Oligodendrocyte precursor cells: 478.5;Peritubular cells: 384.7,Cancer enhanced,Detected in all,NA,glioma: 30.8,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Rhabdoid: 76.7;thyroid cancer: 37.7,"Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Prostate - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA004947, CAB018143",Supported,,Approved,"Nucleoplasm,Plasma membrane,Cell Junctions",Intracellular and membrane,NA,NA,NA,3.00E+05,Cluster 34: Basophils - Unknown function,Cluster 89: Fibroblasts - ECM organization,Cluster 59: Fibroblasts - Metabolism,Cluster 52: Endometrial stromal cells - ECM organization,"Nucleoplasm, Plasma membrane, Cell Junctions",,"CAB018143: AB_2162351, HPA004947: AB_2732399"
